Description,Rating
"broadcast rf field engineer the mink company denver, co  location: this position works remotely and has regional responsibilities so the exact home base location is very flexible.  required experience:  a minimum of 5 years professional experience related to satellite communications previous field support experience is a plus this is a field position that requires the ability to travel throughout your region however most of the travel is day-travel with just the occasional overnight travel. this is a road warrior position (utilizing company vehicle) so excessive amounts of drive-time can be expected. ability to pass a drug screening, background check, mvr screening will be required.  overview of position  the main role of the field engineer is to provide the troubleshooting ability needed to correctly diagnose and effectively handle field-related trouble calls associated with earth station and satellite network systems. the position requires a system-level understanding of the principles of satellite rf communications including ku-band, ka and c-band plus familiarity with the following equipment is desirable: satellite modems, transmitters, antennas, antenna controls, motors, resolvers, lnbs, encoders, 3-phase power, multiplexers, irds, signal routing, fiber optics, hdtv, conditioning and monitoring equipment. the position also requires basic knowledge of network communications and tcp/ip protocols including ip addressing, subnet masks, and vlan configurations as well as working knowledge of the configuration and testing of network equipment such as routers, switches and video equipment with ip interfaces and ip encapsulated video.  the successful candidate should also be knowledgeable with the associated test equipment including but not limited to: spectrum analyzers, power meters, ber test sets, video and audio distortion analyzers, tdr’s, basic electrical test equipment, etc. a background which includes lan, wan, tdma, and other technologies would be a definite plus. candidate should also have knowledge of basic network troubleshooting and troubleshooting tools. familiarity with a network analyzer and transport stream analyzer is also a plus. familiarity with pcs and basic microsoft office programs, plus terminal emulation is necessary. the ability to read schematic and wiring diagrams is also necessary. candidate must also possess excellent writing and verbal abilities. must be able to conceptualize and troubleshoot problems. candidate must work well with others in a team environment, sometimes in pressure situations.  essential duties & responsibilities   test, troubleshooting, commissioning and continuing support of customer sites support of installation and integration crews interface with the customer service, satellite operations and technical support center plus supporting departments interpret technical writing, to include procedures, data sheets, surveys and technical annuals. occasional project work rack integration, cable fabrication, cable terminations and interconnect wiring optimizing earth station antennas overseeing contractors and temporary help ability to peak and optimize antennae ability to configure and test ip based network equipment  skills and attributes   knowledge of satellite earth stations and associated equipment knowledge of applicable test equipment; spectrum analyzers, power meters, frequency counters, transmission test sets, distortion analyzers, ber test sets, video/audio monitors, etc. proficient at system level troubleshooting and testing working knowledge of c-band and ku-band transmit and receive equipment working knowledge of networking equipment including the configuration and testing of routers, switches, and network interfaces including ip encapsulated video working knowledge digital video equipment including encoders, multiplexers, modulators and receivers ability to utilize personal computer and/or computer terminal including keyboard and mouse or equivalent",-1
"systems engineer ii epsilon systems inc aurora, co 80011  epsilon systems c5i (https://www. epsilonsystems. com/c5i), focusing on software development and systems engineering for complex command, control, intelligence and combat systems, is seeking a systems engineer with 2-6 years of experience for work in aurora, co. on this team, you will develop a next generation, cutting-edge, extensible framework for mission management, command & telemetry, and flight dynamics systems. if you have a passion for excellence in engineering and enjoy working on challenging projects in a fast-paced, team-oriented environment – read on! duties and responsibilities: provide technical oversight, direction and clarification of requirements to software, hardware, and test teams. perform system engineering analyses including trade studies, use case development, requirements definition and derivation, capabilities analysis, functional analysis, product definition, interface definition, and requirement validation and verification. support definition of operations concepts and procedure planning and development, interfacing with personnel from other organizations. attend technical interchange meetings with the team members and other program personnel. provide status updates on assigned scheduled tasks. resolve technical systems engineering and integration issues.  required qualifications: bachelor of science, bs in computer science, aerospace engineering, physics, math or related. master’s degree preferred. two to six (2-6) years of demonstrated systems engineering experience. must have an active ts/sci clearance understanding of systems engineering lifecycle and change management process. proven written and oral communication skills, including presentation skills. experience with microsoft office suite of tools. pursuant to the various government contractual requirements, all applicants must be u. s. citizens.  preferred qualifications: experience in requirements management, risk management, and interface definition/control. experience with software systems integration, verification, or validation. experience developing in an agile, devops/continuous integration environment. knowledge and/or experience with mission management/scheduling/flight dynamics (satellite ground systems, mission management systems, command and telemetry systems, digital signal processing). experience with complex satellite ground systems, particularly previous deployment of developed systems to ground station operations.  ada notations: regular communication (hearing/speaking). noise conditions range from very quiet to very noisy. prolonged use of computer (typing/keyboarding). frequently required to sit for long periods of time, stand, and walk. ability to travel by car, air or other means of transportation, if required.   epsilon systems solutions inc. and its subsidiaries are proud to be equal employment opportunity and affirmative action employers, minority/female/disability/vets.",1
"r&d engineer park computer systems inc hillsboro, or  duration: 12 monthsduties: responsible for post-silicon validation testing and debug of high speed serdes interface ip products such as pcie5 and ethernet. duties involve developing evaluation scripts and tools, running tests, analyzing the results, and debugging issues in an r&d test lab environment. skills: must be experienced in using various pieces of lab equipment such as berts, vnas, oscilloscopes, and spectrum analyzers and have a good working concept of the measurements that they can make. strong programming experience is necessary. must understand signals and systems, digital signal processing, as well as transmission line theory. education: master science in computer or electrical engineeringadditional skills: debugelectrical engineeringethernetvalidation testingjob type: contractexperience:r&d test lab: 3 years (required)pcie5: 1 year (required)signals and digital singal processing: 2 years (required)lab quipment, bert, oscilloscopes: 3 years (required)education:master's (required)location:hillsboro, or (required)work authorization:united states (required)application question:may know the hourly rate on w2 position?",-1
"validation engineer tms & co. richmond, ca $45 - $50 an hour job description: perform commissioning and qualification of computerized systems. use your troubleshooting and risk assessment knowledge to work on specialized equipment. create and execute validation documents to ensure appropriate technical content and accuracy based upon specifications and approved procedureswork environment: they will work at the richmond location and have their own work station. they will not be required to travel in this role, as another person is currently supporting this for their customers. qualifications: - bs in an engineering or scientific discipline.- 5 years of experience in an csv engineering role- experience with bas, lims, scada, plc, erp, lms, dcs, or some type of software for electro-mechanical equipment- experience within a gmp or iso 13485 environment is preferred.- experience with 21 cfr part 11 or experience with 21 cfr part 820- experience with hands on experience troubleshooting and calibrating existing equipment.- ideally have experience with fat or sat for commissioning of a facility- have the understanding of how a qms impacts the rest of departments and how validation plays into effect of the big picture for a facility.- ideally have experience within a start up but will take big company experience as well. job types: full-time, contractpay: $45.00 - $50.00 per hourbenefits:dental insurancehealth insurancevision insuranceexperience:validation engineer: 4 years (preferred)contract length:7 - 11 monthscontract renewal:likelywork location:one locationschedule:monday to friday",1
"antibody protein engineer ginkgo bioworks boston, ma 02210  our mission is to make biology easier to engineer in every sense of the term. ginkgo is constructing, editing, and redesigning the living world in order to answer the globe’s growing challenges in health, energy, food, materials, and more. our bioengineers make use of an in-house automated foundry for designing and building new organisms. today, our foundry is developing over 40 different organisms to make different products across multiple industries.  as an antibody protein engineer, you will help establish a platform needed for cutting-edge antibody engineering technologies to enable high throughput design, purification and characterization of antibody/antigen interactions. bringing your own expertise in protein engineering, structural biology, biochemistry and computational biology to ginkgo, you will join a team of interdisciplinary scientists who are at the forefront of developing novel methods for engineering biology. responsibilities leading protein and antibody discovery and engineering coordinating recombinant expression and purification of antibodies and proteins running pharmacokinetics and related assays for characterization utilizing display platforms (yeast, phage, mrna) developing biochemical and cell-based reporter assays for antibody selection managing bio-physical characterization of antibodies exuding a passion for problem solving via biochemistry, structural biology, protein engineering or computational biology methods leveraging automation to scale experimental output teaching and mentoring junior research associates and interns independently analyzing and presenting data to scientific teams maintaining strong commitment and accountability for completion of projects in accordance with team plans experience and capabilities phd in molecular biology, biochemistry, protein/antibody engineering, immunology, or related field hands-on experience in antibody engineering experience in antibody library designs and testing using one of the display platforms (yeast, phage, mrna) understanding of intracellular protein-protein interactions using reporter systems knowledge of transient and stable expression of proteins in hek293 and cho cells for antibody production and purification outstanding problem-solving methods, with the ability to multi-task and learn new techniques excellent communication skills, written and verbal meticulous record keeping skills, with in-depth attention to detail to learn more about ginkgo, check out some recent press: the life factory: synthetic organisms from this $1.4 billion startup will revolutionize manufacturing (forbes) the engineering of living organisms could soon start changing everything (the economist) synthetic bio pioneer ginkgo raises $290 million in new funding (bloomberg) ginkgo bioworks raises $350 million fund for biotech spinouts (reuters) ginkgo bioworks is turning human cells into on-demand factories (wired) can this company convince you to love gmos? (the atlantic) this food tech startup just raised $90 million to make it easier to invent new plant-based meats (fast company)  we also feel it’s important to point out the obvious here – there’s a serious lack of diversity in our industry and it needs to change. our goal is to help drive that change. ginkgo is deeply committed to diversity, equality, and inclusion in all of its practices, especially when it comes to growing our team. we hope to continue to build a company whose culture promotes inclusion and embraces how rewarding it is to work with engineers from all walks of life. making biology easier to engineer is a tough nut to crack – we can’t afford to leave any talent untapped.  it is the policy of ginkgo bioworks to provide equal employment opportunities to all employees and employment applicants.",-1
"pollution abatement and freshwater systems engineer epsilon systems inc san diego, ca 92123  epsilon systems partners is seeking a contingent full time pollution abatement and freshwater systems engineer in san diego, ca. duties and responsibilities: provide engineering support for the following systems: oil pollution abatement (opa), oil waste separators (ows), oil content monitors (ocm), reverse osmosis (ro) distilling plant, sewage collection, holding and transfer (cht), sewage vacuum collection, holding and transfer (vcht), evaporative toilet system (e. g. gatx), potable water system, electric cooling water (ecw), shredders, plastic waste processor (pwp), metal/glass shredder (mgs), large and small waste pulpers. be able to interpret, select, adopt, and apply engineering guidelines, principles, and practices to solve technical problems. conduct engineering investigations and analyses of system failures. recommend corrective repair actions using root cause analysis. respond to engineering service requests (esr). provide departure from specification investigation and adjudication support. recommend alternative engineering solutions to repeated equipment failures.  required qualifications: bachelor’s degree in mechanical engineering or other engineering discipline four (4) years full-time experience with pollution abatement systems or related experience must be proficient in ms office excellent oral and written communication skills pursuant to the various government contractual requirements, all applicants must be u. s. citizens. ability to obtain/maintain a dod secret security clearance  preferred qualifications: previous navy or shipyard experience  ada notations: requires walking, reaching, sitting and concentration in the presence of occasional noise ability to lift, carry and move objects up to 50 lbs. in weight ability to work in office, warehouse, laboratory, pier side, and shipboard locations. noise conditions range from very quiet to loud, hearing protection may be required at times.  epsilon systems solutions, inc. and its subsidiaries are proud to be equal employment opportunity and affirmative action employers, minority/female/disabled/veterans.",1
"component product support engineer libra industries dayton, oh 45405  job title: component/product support engineer department: assembly engineering reports to: manufacturing manager primary function of position: process labor quotes for new and updated rfq’s, creating macola routes for production orders, and assisting assembly engineering in project setup. description of duties: work with the manufacturing and departmental personnel to ensure quality, on time delivery and lowest overall cost through the efficient performance of the below listed duties in a productive manner. review customer quote documentation, input information into macola and interface with pa and pm to ensure accurate processing of labor quotes. assist engineering department in special projects and assignments as required assuring the smooth operation of the department. the creation and maintenance of process routes in macola and ensure accurate actual labor times in macola for production orders process labor quotes for new and updated rfq’s and all change management activities under rma’s ecn’s, deviations. support the fp (first article) order launch process in conjunction with other departments as required. support production floor and stores department regarding questions or problems associated with components. assist assembly engineering for review of customer bill of materials, clarify and obtain documentation as required, create and maintain revision controlled bom’s in macola.  education/experience required: minimum one - two years electronic experience. proficient with microsoft office - outlook, excel, word.  skills/experience preferred: six sigma and lean practices. working knowledge of macola. working knowledge of mrp/ erp systems.  physical requirements: walking: moving about on foot to accomplish tasks, particularly for long distances the selected candidate will be required to pass a criminal history background check and education verification as outlined by libra.",-1
"public utilities engineer dept of public utilities boston, ma 02110 $69,929 - $102,939 a year gathers and analyzes data in order to determine reliability of electric utility transmission and distribution systems; confers with local, state and federal government authorities, community leaders and others as part of the adjudication of such plans; prepares reports and tentative decisions of the department of public utilities (dpu); responds to inquiries; ensures that electric companies in massachusetts are operated in a manner that ensures a reliable energy supply for the commonwealth with a minimum impact on the environment at the lowest possible cost. conducts engineering studies of plant, equipment and services of electric utilities to determine capabilities, service effectiveness and to make recommendations concerning service, operating methods and safety practices. evaluates the physical condition of properties and equipment of electric utilities through written reports, on-site audits and inspections, to prepare reports concerning appropriateness of proposed rate schedules, amounts of allowable bond issues and changes in allowed rate of depreciation. investigates consumer complaints concerning charges and application of rates of electric utilities, line extensions, and quality and availability of service to resolve complaints and recommend corrective action. reviews petitions filed by electric utility companies on such matters as construction or expansion of utility facilities, zoning exemptions and use of eminent domain to recommend approval or disapproval of petitions based on public convenience and necessity. conducts studies on such matters as energy conservation, solar and hot water heating projects, alternate sources, etc. develops and recommends changes to the operating standards governing activities of public utilities. investigates accidents involving public utility organizations to determine cause and to report findings. conducts public utility hearings on petitions filed by public utility companies. performs related duties such as preparing reports on such matters as environmental impact studies, rules and regulations, plant account studies, etc.; maintaining records of utility malfunctions; using safety equipment while conducting inspections and providing technical assistance to others. performs field inspections of activities including, but not limited to, vegetation management; responding as an observer to emergency events on the electric distribution system; and large electric distribution system upgrade projects, as requested  a cover letter and resume must be submitted as part of the application process and attached “as relevant” to the requisition.   remarks: special requirements: possession of a current and valid massachusetts class d motor vehicle operator's license.   qualifications  first consideration will be given to those applicants that apply within the first 14 days.  minimum entrance requirements:  applicants must have at least (a) four years of full- time, or equivalent part-time, technical or professional experience in mechanical engineering or electrical engineering work, the major duties of which included the design, construction or operation of facilities for the generation, transmission and/or distribution of light, heat and power and (b) of which at least two years must have been in a professional capacity, or (c) any equivalent combination of the required experience and the substitutions below. substitutions:  i. an associate's degree with a major in mechanical engineering, mechanical engineering technology, electrical engineering or electrical engineering technology may be substituted for a maximum of one year of the required (a) experience.* ii. a bachelor's degree with a major in mechanical engineering, mechanical engineering technology, or electrical engineering technology or electrical engineering may be substituted for a maximum of two years of the required (a) experience.* iii. a graduate degree with a major in mechanical engineering, mechanical engineering technology, or electrical engineering technology may be substituted for a maximum of two years of the required (a) experience and one year of the required (b) experience.* education toward such a degree will be prorated on the basis of the proportion of the requirements actually completed. note: educational substitution will only be permitted for a maximum of one year of the required (b) experience. special requirements: possession of a current and valid massachusetts class d motor vehicle operator's license.  an equal opportunity / affirmative action employer. females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.  official title: public utilities engineer primary location: united states-massachusetts-boston-1 south station job: engineering agency: department of public utilities schedule: full-time shift: day job posting: apr 8, 2020, 7:16:48 am number of openings: 3 salary: 69,929.34 - 102,938.94 yearly if you have diversity, affirmative action or equal employment opportunity questions or need a reasonable accommodation, please contact diversity officer / ada coordinator: agatha summons - 617-626-1282 bargaining unit: 09-moses - engineers/scientists confidential: no",1
"applied scientist, alexa nlu amazon. com services llc seattle, wa  phd or equivalent master's degree plus 4+ years of experience in cs, ce, ml or related field2+ years of experience of building machine learning models for business applicationexperience programming in java, c++, python or related languagegraduate degree (ms or phd) in electrical engineering, computer sciences, or mathematics with specialization in speech recognition, natural language processing, or machine learning. familiar with programming languages such as c/c++, java, perl or python.1+ years experience in building speech recognition and natural language processing systems (e. g. commercial speech products or government speech projects)1+ years machine learning experience and familiar with standard speech and machine learning techniques.  amazon is looking for a passionate, talented, and inventive scientist with a strong machine learning background to help build industry-leading speech and language technology. our mission is to push the envelope in automatic speech recognition (asr), natural language understanding (nlu), and audio signal processing, in order to provide the best-possible experience for our customers.  as a scientist, you will work with talented peers to develop novel algorithms and modeling techniques to advance the state of the art in spoken language understanding. your work will directly impact our customers in the form of products and services that make use of speech and language technology. you will leverage amazon’s heterogeneous data sources and large-scale computing resources to accelerate advances in spoken language understanding.  we are hiring in all areas of spoken language understanding: asr, nlu, text-to-speech (tts), and dialog management.  5+ years experience in building information retrieval, recommendation and natural language understanding systems5+ years experience in deep learning and traditional machine learning techniques. scientific thinking and the ability to invent, a track record of publications that have advanced the fieldsolid software development experiencegood written and spoken communication skills. amazon is an equal opportunity employer – minority / women / disability / veteran / gender identity / sexual orientation / age",-1
"pixel ip design engineer apple santa clara valley, ca 95014  summary posted: jun 19, 2020 role number:200157526 do you love creating elegant solutions to highly complex challenges? do you intrinsically see the importance in every detail? as part of our silicon technologies group, you’ll help design and manufacture our next-generation, high-performance, power-efficient system-on-chip (soc). you’ll ensure apple products and services can seamlessly and efficiently handle the tasks that make them beloved by millions! joining this group means you’ll be responsible for crafting and building the technology that fuels apple’s devices. together, we will enable our customers to do all the things they love with their devices. in this highly visible role, you will be at the center of a multimedia ip design effort interfacing with all disciplines, with a critical impact on getting functional products to millions of customers quickly. key qualifications previous strong experience in media, video, pixel, or display designs. a good understanding of timing/area/complexity tradeoffs for complex data path design. familiarity with common on-chip bus protocols such as amba (axi, ahb, apb). experience in front-end implementation tasks such as synthesis, sta, and logic equivalence. industry exposure to and knowledge of asic/fpga design methodology. excellent collaboration skills. outstanding written and verbal communication. description as an ip design engineer you will have responsibilities spanning all aspects of multimedia ip design: - collaborate with architecture team to write microarchitecture specifications and define interfaces for pixel-processing ip. - perform feasibility analysis on suggested architecture(s) and algorithm(s). - perform rtl design and logic implementation of agreed architecture. - integrate subsystems that have both internal and external ips. - perform front-end implementation tasks such as synthesis, logic equivalence check, and sta. education & experience bsee / msee is required",1
