Description,Rating,SortKey
"applications/hardware engineer crocus technology santa clara, ca 95051  the applications/hardware engineer will be responsible for the testing, characterization and application electronics development of our tmr magnetic sensor product portfolio. what you will be doing  immersed in applications engineering activity including generation of application circuits and demo boards with circuit design steps, component selection, circuit schematic, bill of materials, pcb layout, test procedures and reports support applications team’ documentation efforts to enable customers to build and customize reference designs provided ensure customer support by providing guidance for troubleshooting/analysis, competitive analysis, and solution generation, including fa support relative to applications and systems issues. involved with automation of lab measurements and development of new test methods to characterize and benchmark tmr magnetic sensors other duties as assigned  what you need for this position required skills/experience:  bs and/or ms in electrical, electronics engineering, or a related discipline with minimum 5-7 years of experience in the electronics industry in an applications or electronics design role. experience and strong knowledge of sensors, preferably magnetic sensor, readout circuitry is a plus demonstrated related experience in the areas of sensors, integrated circuit, pcb design with good hardware debugging skills is mandatory experience in measurement automation (labview, vee, python) as well proficiency in programming microcontrollers (stm32/msp430/pics) to enable rapid prototyping of sensors. an effective communicator with the ability to interface at all levels within the organization and cross functional teams both written and orally.  desired skills/experience:  ability to do basic gui development in windows as needed to support demonstration boards. experience with analog, mixed signal testing for multiple industrial and consumer applications  what’s in it for you  competitive base salary with bonus medical/dental/vision pto retirement plan career advancement at a sensor startup  contact  please submit cv/resume to anuraag mohan",0,0
"nand innovation engineer micron san jose, ca 95124  req. id: 199203  micron technology’s vision is to transform how the world uses information to enrich life and our dedication to people, innovation, resourcefulness, collaboration, and customer focus allows us to fulfill our mission to be a global leader in memory and storage solutions. this means conducting business with integrity, accountability, and professionalism while supporting our global community.  nand pathfinding team is chartered with envisioning, crafting, developing and deploying innovative solutions to the most difficult problems faced by non-volatile memory systems today and in the future. demonstrating a relatively small, very select group of technical contributors with expertise that ranges all the way from si to system, the focus is on multi-functional solutions utilizing vertical integration. the team is led by only one of four senior fellows at micron and is part of the technology and products pathfinding group.  a successful candidate for nand innovation engineer will have extensive experience in nand flash product development either in a design engineering and/or product engineering. significant depth of expertise in circuit design (analog, data path, memory array row and column path) and/or product engineering (circuit behavior and debug, nand flash cell behavior and array optimization) with a consistent track record for innovative solutions is required. in addition, functional skills demonstrating breadth of technical knowledge in si devices, memory controller design and functionality, non-volatile system design and functionality is highly desirable. this is an outstanding role for a very creative and highly skilled nand engineer!  responsibilities include, but not limited to: innovate new solutions to sophisticated multi-disciplinary problems by collaborating with other team members with skill sets ranging from si to system. propose and evaluate new nand design and architecture concepts to overcome nand scaling challenges for cost, performance, power and reliability compared to today’s state of the art. design and perform si experiments and analyze data to quantify proposed circuit and algo changes utilizing critical analysis skills to determine the pros and cons leading to a value proposition determination. exercise leadership skills by demonstrating the ability to drive complex projects from idea conception through evaluation and implementation. work closely with teams passionate about execution to deploy developed projects with high quality and minimized time to market. educate and mentor other technical contributors within the organization to raise their level of technical expertise.  successful candidate for this position will have: technical expertise in circuit design (analog, data path, memory array row and column path) and/or product engineering (circuit behavior and debug, nand flash cell behavior and array optimization). consistent track record of innovative solutions taken from conception through implementation as demonstrated by patent portfolio and/or examples of competitive advantage gained over previous solutions. articulate vision for new concepts through excellent documentation and presentation skills. leadership skills to encourage, empower and drive peer contributors with varied skill sets towards a common goal. successful partnerships with internal and external domain specialists, advancing product development outcomes and setting the direction for future system products  minimum qualifications: bachelor of science (or higher) in electrical engineering (or a related field) and 5-15 years of circuit design and/or product engineering experience. knowledge of analog and digital circuit simulation and layout/schematic tools experience with circuit debug and electrical failure analysis demonstrate an understanding of the principles of non-volatile memory systems good understanding of nand layout principles and interconnect architectures basic understanding of nand memory device physics for cell, and cmos circuits strong data analysis skills, including ability to write basic scripts (perl, python, matlab) strong leadership skills and multi-functional teamwork self-motivated and significant problem-solving skills  about us as the leader in innovative memory solutions, micron is helping the world make sense of data by delivering technology that is redefining how the world uses information. through our global brands — micron, crucial and ballistix — we offer the industry’s broadest portfolio. we are the only company manufacturing today’s major memory and storage technologies: dram, nand, nor and 3d xpoint™ memory. our solutions are purpose built to demonstrate the value of data to unlock financial insights, accelerate scientific breakthroughs and improve communication around the world.  micron benefits employee rewards program, healthcare, paid time off (combined sick and vacation time), retirement savings plans, paid maternity/paternity leave, employee assistance program, professional development training, workplace wellness programs, micron health clinic (boise only), fitness center / activity rooms (boise only), tuition reimbursement, micron corporate discounts, casual dress attire.  all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.  for us sites only: to request assistance with the application process and/or for reasonable accommodations, please contact micron’s human resources department at 1-800-336-8918 or 208-368-4748 and/or by completing our general contact form keywords: san jose || california (us-ca) || united states (us) || technology development || experienced || regular || engineering || #li-gc1 || tier 5 ||",1,1
"product lead engineer, fab solutions (yield management, defect management) - sisw - mg 196917 siemens wilsonville, or  during the current global health crisis, the priority for siemens digital industries software is the health and well being of our entire community including current and future employees, which may add time to our hiring processes. we appreciate your patience and invite you to visit our website to learn more about how siemens is responding to the pandemic.  company: sisw - mg job title: product lead engineer, fab solutions 196917 job location: usa - ca - fremont job category: engineering  job description: the fab solutions technical lead will report to the product marketing director initially as an individual contributor with potential to lead a team of product/application engineers in the future. drive a technical and business development effort for design anchored work flow automation in semiconductor fabs. understand yield management and process control work flows, gaps and requirements and derive market requirement specifications for consideration in software tool development. contribute to application development and functional validation of software solutions developed by the engineering team. guide the quality assurance group in their testing on user scenarios. build relationship network with foundry customers in the technology learning and yield managements space. build and maintain relationship network with process, metrology equipment suppliers and material suppliers for semi manufacturing.  about the group: the calibre semiconductor manufacturing solutions group is integral part of the calibre family focusing on the needs of the manufacturing customers. we provide full data preparation solutions that convert a finished design into a mask write-ready set. it relies on accurate capture of models describing the wafer lithography, etch, deposition and cmp processes and using these models to correct the design data compensating for systematic processing effects for maximum process yield. increasingly both design information and process knowledge are required to understand yield phenomena in the fab and to take corrective actions on the process/equipment side, the data preparation side or the design itself. enabling our tools to better serve customers in these tasks is the objective for this position.  job qualifications:  the mentor graphics calibre semi manufacturing solutions team is looking to hire a motivated individual to fill the role of a technical lead for the fab solutions product group. we are looking for the following qualifications: engineer with background and recent experience in yield management, technology integration, defect management, or failure diagnosis/failure analysis in semiconductor manufacturing including advanced nodes. understanding of the interaction of the ic design flow and the wafer manufacturing flow. interest in software application development and machine learning methodologies to discern root causes of process observations and their connectedness to layout content. master’s degree in material science, physics or electrical engineering with 5-10 years’ experience. network in the semiconductor manufacturing and supplier space.  this position may require access to export-controlled technology. if an export license is required and mentor graphics elects to apply for such a license, then candidates must be approved and licensed by the applicable government authorities as a condition of employment.  li#-mgrp  organization: digital industries company: mentor graphics corporation experience level: experienced professional job type: full-time  equal employment opportunity statement siemens is an equal opportunity and affirmative action employer encouraging diversity in the workplace. all qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability unrelated to ability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, order of protection status, protected veteran or military status, or an unfavorable discharge from military service, and other categories protected by federal, state or local law.  eeo is the law applicants and employees are protected under federal law from discrimination. to learn more, click here.  pay transparency non-discrimination provision siemens follows executive order 11246, including the pay transparency nondiscrimination provision. to learn more, click here.  california privacy notice california residents have the right to receive additional notices about their personal information. to learn more, click here.",1,2
"engineer i/ii, verification engineering seakr engineering englewood, co 80111  company descriptionjoin seakr engineering, a leading-edge provider of advanced electronics for space applications. pushing the boundaries of technology on a mission to change the world for the better from space. job descriptionseakr is seeking a verification engineer who is responsible for developing verification and simulation strategies, conducting design reviews, creating a digital test plan and providing coverage metrics. the engineer is responsible for the construction and maintenance of simulation environments using system verilog with uvm (universal verification methodology), and performing and evaluating regression tests for a design under test. the candidate must be able to extract and derive test requirements and sequences for an interface or interfaces based on available design documentation and requirements. ability to architect and construct full test environments for simple devices using uvm, including coverage, is required. the candidate shall be capable of diagnosing sophisticated test failures and filing results and be capable of analyzing code coverage to adjust agent sequence behavior. ability to analyze verilog rtl to diagnose test failures is required. ability to diagnose vhdl rtl is a plus. ability to perform and evaluate regression tests for a design under test is a plus. ability to use simulation tools such as mentor graphics modelsim/questasim for simulation debug and reporting is required. must be able to work effectively under pressure to meet tight deadlines. experience verifying dsp related designs is a plus. qualificationsa bachelors degree in electrical engineering or computer science and at least 3 to 5 years of verification engineering experience are required. a master's degree is preferred. additional informationseakr is an equal opportunity employer - all your information will be kept confidential according to eeo guidelines. us citizenship requiredseakr offers competitive compensation and excellent benefits. location: colorado; relocation available. location: 6221 south racine circle, englewood, co 80111job type: full-time",0,3
"environmental engineer dyno nobel saint helens, or  job brief  support function providing assistance to environmental in the areas of required inspections, waste handling, air emissions; water discharge, training and documentation of these activities  who we are  dyno nobel is a global leader in the commercial explosives industry. we provide innovative blasting solutions and quality explosives products throughout north america, australia and selected customers in the asia pacific.  join us in everything that’s great about dyno nobel: our culture, our values, our commitment to safety and most importantly our people. this combination makes dyno nobel a terrific place to work.  dyno nobel is a subsidiary of australian based incitec pivot limited. ipl's 4500 employees also manufacture and market industrial chemicals and fertilizer products & services to customers around the world.   what you’ll do  assists as a support function to the environmental manager: support function providing assistance to environmental in the areas of required inspections, waste handling, air emissions; water discharge, training and record keeping.  assist with environmental reporting, record keeping, monitoring, compliance, and audits. assist plant personnel and contractors with environmental training. assist in updates to regulatory compliance manuals. provide assistance for internal environmental audits. conduct swppp, spcc and waste inspections. assist with incident investigations/rca’s. schedule and facilitate waste pick-ups and documentation retention. follow up on shaers action items. actively participate in turnarounds. maintain inspection and environmental documentation and archiving. other duties as assigned.   what we’re looking for:  bachelor of science degree in engineering, physical science, environmental science or related field preferred. associates in related field will be considered. certified hazardous materials manager (chmm) or certified hazardous materials professional (chmp) preferred. some knowledge of local, state and federal environmental regulations strongly preferred. math and writing competency. project oversight experience. strong computer skills with a working knowledge of the microsoft office program (word, excel, power point). ability to work under limited supervision. minimum 2 years chemical plant, refinery or other industrial environmental compliance required.   what we offer:  vacation time + 10 paid holidays + a couple of pto days full health benefits including employer hsa contributions + dental plan with an orthodontic option, wellness coaching available up to a 4% 401k match plus additional company contribution from 1% to 5% based on years of service a generous tuition reimbursement program friendly and supportive coworkers   zero harm for everyone everywhere  value people – respect, recognize & reward  think customer. everyone. every day  treat the business as our own  care for the community & our environment  challenge & improve the status quo  deliver on our promises   women are encouraged to apply.",0,4
"production engineer advantech milpitas, ca 95035  position: production engineer  department: production  job summary: the primary function of the production engineer is to provide an in-depth hardware/software technical and technological expertise within specific areas of focus, and develop/provide a genuinely customized solution for production and customers. responsible for new system integration and project launches to all computer units, customer project configurations, file reviews, and updates. provides instruction and training for hardware and software levels and mentors employees in lean manufacturing and quality system practices. provides general technical support to all aspects of operations and manufacturing. this position reports to the director of production.  duties and responsibilities:  responsible for customer project configurations, file reviews, and updates. responsible for new system integration and project launches for all computer units (advantech system/cpu board), including hardware inspection, operating system installation, power on test, functional test and trouble-shooting system function level (when necessary) and generation of customized to order (cto) files. oversight for problem solving; customer project configuration files, cto, and original equipment manufacturer (oem) file reviews and updates. initiates and provides accurate and timely responses to resolve system functional and configuration issues for customers. provides instruction for hardware and software levels in production, and (if necessary), provides any system rework, upgrade modification and test training to all production staffs. trains and mentors employees in lean manufacturing and quality system practices; and provides assistance and support for greater understanding, and the fostering, promotion, utilization, and advancement of those experiences, knowledge, and skills. provides general technical support to all aspects of operations and manufacturing. interfaces with production management, application engineering, quality assurance, and sales to ensure that customer needs, policies, projects and processes are completed. coordinates and interfaces with production management, quality assurance, application engineering and sales teams to provide accurate, quality, and timely resolutions to troubleshoot system functionality and configuration issues for customers. collaborates with production management and operations to develop and execute plans for the continuous and process improvements of business measurements including, but not limited to product yields, cycle times, workflow, efficiency improvements, and other related metrics and standards. understands and complies with applicable integrated management system (quality, environment, health and safety, and information security) policies, procedures, work instructions and related guidelines. performs and completes any other tasks and/or projects as assigned.  qualifications, requirements, and skills:  minimum of four (4) to five (5) years of related experience within computer hardware testing and software installation. completion of formal technical training (3+ years) is required. associates’ (a. a./a. s.) degree within a technical or scientific field is required or a bachelor’s (b. a./b. s) degree within a technical or scientific field preferred; and/or equivalent experience. product-oriented certificates are required. strong system integration and functional technical skills for all computer related products. strong knowledge and understanding in computer related hardware and software including technical skills of various microsoft operating systems and network connectivity in computer station and server systems. clear and effective communications and strong written competencies in project configuration file (pcf), customized to order (cto), original equipment manufacturing (oem), and standard operating procedures (sop) establishment and modification is required. knowledge in linux os and unix is a plus. broad and in depth experience, knowledge, and understanding of customization order file (cto) and standard operating procedures, policies, and guidelines. demonstrated and proven experience to manage and complete multiple projects with multivariable circumstances, responsibilities, and deadlines. demonstrated mastery to work with self-initiative, technical/detail oriented, and act as a cohesive team builder and collaborator. analytical, troubleshooting, and reasoning skills. ability to work extended hours during workweeks and/or weekends when necessary and/or due to business needs. prior extensive experience and responsibility for business travel and support offsite required. proficiency and skill in microsoft office applications (word, excel, powerpoint, and outlook). strong time management, organizational, and interpersonal skills. good oral and written communication skills.  physical requirements:  the physical requirements described below are representative of those that must be met by an employee to successfully perform the essential functions of this job:  standing, walking, sitting, kneeling, crouching or crawling, reaching with hands and arms to perform job. lift, carry, push and pull in excess of 25 pounds. (for safety, support belt must be worn to perform this task). some product may require lift up or over 35 lbs. (for safety, support belt must be worn to perform this task). unpacking and re-packaging will be required.",1,5
"full time production or service engineer allwin21 corp morgan hill, ca  emphasis in: industrial or electronics engineering  duties and responsibilities:  following reflects the essential function for this job but does not restrict the tasks that may be assigned. management may assign or reassign duties and responsibilities to this job at any time.  specific job responsibility:  primary – customer service and training  onsite installations of the full allwin21 product portfolio. onsite customer operations/maintenance training. onsite service calls that include repair, training, or upgrades. generate field service reports and ncr (non-conformance reports). close out open ncrs.  job requirements  industry strong troubleshooting skills. strong communications skills. 1-5 years plasma and high-vacuum semiconductor manufacturing equipment background/experience. perkin elmer sputter, tegal, lam, gasonics, matrix, or ag associates experience is a plus. tools/skills must be able to effectively communicate allwin21 training material to customers. must be able to use leak-detection and other high-vacuum related tools. must be able to read and comprehend operations and maintenance manuals. computer skills must know – dos basic word document software such as ms word or google docs plus: pc/mrp or basic cmms personality team oriented for company functions, while independent for daily tasks and even small projects. adaptable to changing work flow quick learner ability to handle many different tasks; self-management and prioritizing clear english reading, writing and speaking are required.  to be considered for this position, please email your resume to recruit@allwin21. com.",1,6
"manufacturing engineer blitz itasca, il 60143 $75,000 - $87,000 a year summary: engineer will demonstrate technical/design efforts from inception taken to production both in new product design and redesigns. familiar with roll forming, stamping, and fabricating. experience designing fixtures and provides support to the manufacturing floor. work with clients and suppliers to direct product specifications, materials, or parts and check products & materials according to specifications and qualityutilize mathematical and physic principles to assist with the design of productsconsult with management, quality and manufacturing personnel to discuss manufacturing capabilities, production schedules and resolve issues. quoting of sheet metal, roll forming, and stamped parts/assemblieseducation and experience: bs in engineering, or equivalentproficient in autocad, pro-e, solidworks or catiaunderstanding of all sheet metal fabrication, roll forming, and stamping areasjob type: full-timepay: $75,000.00 - $87,000.00 per yearbenefits:401(k)dental insurancehealth insurancelife insurancepaid time offvision insuranceexperience:manufacturing engineering: 3 years (required)working within roll forming, stamping, fabricating industry: 3 years (required)fixture design: 2 years (required)location:itasca, il 60143 (required)work authorization:united states (required)work location:one locationthis company describes its culture as:detail-oriented -- quality and precision-focusedinnovative -- innovative and risk-takingpeople-oriented -- supportive and fairness-focusedschedule:night shiftovernight shiftwork remotely:no",0,7
"junior engineer (electrical or computer) alion science and technology wright-patterson afb, oh  job description alion is seeking a junior engineer with solid knowledge of the basic principles of electrical engineering, computer engineering, or embedded systems. this position may also require an interest in the modeling, simulation, and/or analysis of electronic warfare systems, radars (ground-based or airborne), missile & aircraft systems, or rf/eo/ir sensors. candidates should be familiar with basic radar theory and be able to analyze performance and develop subsystem-level models and characterizations of radar components such as antennas, transmitters, receivers, signal processors, trackers, and mode control computers. candidates will use good people skills and strong technical interests/capabilities to work with a highly technical team of engineers and scientists solving challenging technical questions about highly complex rf systems. applicants should have: experience with assembling and disassembling hardware systems, equipment, and associated components knowledge of the basic principles of electrical engineering, computer engineering, or embedded systems bs degree in electrical engineering, computer engineering, or a related field it is desired that applicants may have: experience with data collection, signal processing, and circuit design experience with lab equipment, including oscilloscopes, power supplies, and soldiering experience with troubleshooting circuits and analyzing schematics experience with mechanical work, including electrical boards experience with software defined radio, micro controllers, and interfacing knowledge of computer programming, design software, and system design ability to learn client-specific material quickly and present a professional demeanor in a client-facing role ability to create and lead technical presentations for management and decision makers security clearance: secret",0,8
"consultant engineer ii fm global norwood, ma 02062  overview: at fm global you have the power to influence outcomes and make a difference in the future. yours, your clients’, and the company’s. when you join our team as a consultant engineer, you have the ability to leverage your engineering background to help clients neutralize potential disaster—saving property, businesses and lives. with the company’s nearly two centuries of knowledge and experience behind you, you’ll work hands on with some of the world’s most influential organizations, helping them understand risk and protect their assets. and you will have the resources to build a rewarding career at fm global.  responsibilities: this is a position for a home based resident consultant engineer residing in fairfield county, connecticut. if you enjoy diversity, put your time-management and organization skills to use handling field visits, office work, and projects for large commercial occupancies and hazards. you will work with minimal supervision and must be capable of working independently. initially, assignments will be of limited scope and complexity which, along with classroom training that fm global provides, gives you the opportunity to learn. you will gradually begin assessing risks at larger complex commercial properties by visiting client facilities and performing evaluations that accurately quantify foreseeable physical and human element exposures while working with client on-site risk management. you will perform “hands on” site assessments of the physical property including roofs and evaluations which include, but are not limited to, site water supplies, dust hazards, chemical storage, and rack storage arrangements of client products. consultant engineers are charged with ensuring that fm global engineering standards are followed and as necessary must communicate the appropriate recommendations and/or engineering solutions to ensure client understanding and agreement for risk improvement so strong communication, listening and interpersonal skills are a must. you must be willing to operate from a home office and will be expected to travel to clients' facilities daily. overnight travel is expected approximately 30% of the time. you must also be willing to travel to natural catastrophe sites as needed. qualifications: successful consultant engineer candidates have the following qualifications: minimum of a bachelors degree in engineering 3+ years of experience strong verbal and written communications skills are a must good analytical, organizational, problem solving, and interpersonal skills efficient time management ability with minimal supervision solid technical aptitude including diverse knowledge of engineering principles valid driver’s license familiar with the geographical locations in connecticut physical ability to climb ladders, lift >25 lbs., balance, and heights proficient in ms office products there is no relocation assistance with this position. #li-adf",1,9
