Description,Rating,SortKey
"hybrid propulsion engineer electra aero cambridge, ma  about electra. aero electra. aero is building the next generation of regional mobility aircraft with a mission to turn flygskam into flugvergnügen. we are a new us company developing hybrid-electric aircraft using estol technology to enable clean, quiet, and sustainable air access that can turn any soccer-field sized space into a runway. we believe in the power of disruptive innovation, where small, highly focused teams operating in a lean and streamlined environment can truly change the world. if you seek an environment where responsibility and authority go hand in hand then we invite you to explore opportunities with our growing team. our team seeking an experienced electrical, mechanical, or aerospace engineer to organize and lead a hybrid-electric propulsion group. this position can be based in either europe (bern, switzerland area) or the united states (cambridge, ma or penrose, co) and is available immediately. qualifications must have experience with turbine engines, electrical generators, power supplies, high torque/high voltage electric motors, and their aircraft applications. must be an experienced entrepreneur, comfortable with working with minimal guidance and oversight. in addition to being a world-class engineer, this person must have strong organizational skills. this job will involve bootstrapping a development and test capability and guiding it to the point where it delivers flight certified hardware. must have demonstrated ability to work effectively with a range of people, suppliers, and customers. requirements b. s. degree in a related engineering field electra. aero offers great employee benefits and competitive wages. compensation for this position commensurate with experience.  s52uk0vhhp",1,0
"noise/acoustical engineer consultant tetra tech boston, ma 02110  are you ready to take the next step in your career? do you want to do meaningful work that improves quality of life? at tetra tech, you will work with high-performing teams who are passionate about using their expertise to find solutions to complex problems in water, environment, infrastructure, resource management, energy, and international development. we are currently seeking a noise/acoustical engineer consultant, with an emphasis on underwater noise experience. candidates in the greater boston area, or on the west coast would be most desirable. the noise/acoustical consultant will be working in challenging and variable environments that will include detail-oriented independent work and client interactions.  responsibilities: capturing and analyzing noise measurement data (ambient, compliance, and source) using field equipment willing to travel and conduct field work in a range of environments from busy urban areas to remote locations, on land and at sea estimating sound levels of various types of sources (e. g., industrial, transportation) conducting underwater acoustic assessments, including modeling analyses to evaluate propagation and attenuation of underwater noise for use in determining potential impacts on marine mammals or other aquatic species conducting computer modeling of noise levels at a distance using cadnaa quantifying the effectiveness of noise mitigation, including barriers critically reviewing and interpreting local, state, provincial, and federal environmental regulations preparing reports and communicating results to clients managing projects and client relationships requirements: b. s. or m. s. in an engineering, science, or mathematics related major at least 10 years of experience conducting environmental noise assessments strong written and oral communication skills solid spreadsheet, noise modeling, and software tool skills demonstrated capabilities in understanding and applying environmental regulations to real-world situations excellent analytical and organizational skills ability to work well independently and at remote job sites ability to work on several tasks at any given time ability to work well with a team  about tetra tech: tetra tech is a leading provider of high-end consulting and engineering services for projects worldwide. we combine the resources of a global, multibillion-dollar company with local, client-focused delivery in more than 400 locations around the world. we are leading with science® to provide sustainable and resilient solutions for our clients. at tetra tech, we provide a collaborative environment that supports individual performance, innovation, and creativity. we are proud to offer competitive compensation and benefits. learn more by visiting http://www. tetratech. com/en/benefits.   we thank all applicants for their interest; however only those selected for an interview will be contacted. tetra tech is committed to creating a diverse environment and is proud to be an equal opportunity employer. we invite resumes from all interested parties including women, minorities, veterans and persons with disabilities. tetra tech is a vevraa federal contractor and we request priority referral of veterans for available positions. eoe aa m/f/vet/disability - no calls or agencies",-1,1
"hybrid propulsion engineer electra aero cambridge, ma  about electra. aero electra. aero is building the next generation of regional mobility aircraft with a mission to turn flygskam into flugvergnügen. we are a new us company developing hybrid-electric aircraft using estol technology to enable clean, quiet, and sustainable air access that can turn any soccer-field sized space into a runway. we believe in the power of disruptive innovation, where small, highly focused teams operating in a lean and streamlined environment can truly change the world. if you seek an environment where responsibility and authority go hand in hand then we invite you to explore opportunities with our growing team. our team seeking an experienced electrical, mechanical, or aerospace engineer to organize and lead a hybrid-electric propulsion group. this position can be based in either europe (bern, switzerland area) or the united states (cambridge, ma or penrose, co) and is available immediately. qualifications must have experience with turbine engines, electrical generators, power supplies, high torque/high voltage electric motors, and their aircraft applications. must be an experienced entrepreneur, comfortable with working with minimal guidance and oversight. in addition to being a world-class engineer, this person must have strong organizational skills. this job will involve bootstrapping a development and test capability and guiding it to the point where it delivers flight certified hardware. must have demonstrated ability to work effectively with a range of people, suppliers, and customers. requirements b. s. degree in a related engineering field electra. aero offers great employee benefits and competitive wages. compensation for this position commensurate with experience.  s52uk0vhhp",1,2
"restoration design engineer resource environmental solutions llc san francisco bay area, ca  overview: res is the nation’s largest and most experienced provider of ecological restoration and water resource solutions. to date, we have restored over 294 stream miles and 58,000 wetland acres, in addition to conserving and preserving 9,100 acres of endangered species habitats. res operations include planting over 14,000,000 restorative trees and reducing over 250 tons of polluting nutrients. res ecological solutions enable a balance of economic development and ecological sustainability.  we are accepting applications for a restoration design engineer with 10+ years of experience in our sacramento office.  as a designer, you will have the opportunity to work on projects you design through the entire project’s life cycle. our designers are involved from initial concept through construction and long-term monitoring allowing our team to conduct adaptive management and apply innovative techniques to future restoration projects. responsibilities: the desired candidate’s responsibilities would include but are not limited to the planning, design and management of river restoration, streambank stabilization, wetland restoration and other stormwater and restoration related design projects. responsibilities would include coordination of project teams, client contact and communication, review of designs for quality assurance and control, providing engineering evaluations, technical reports, specifications, design plans, construction schedules and cost estimates. you would work as part of a turn-key restoration project delivery team including land acquisition, design, permitting, construction, monitoring and maintenance. collaborate with a talented team of fisheries biologists, ecologists, geomorphologists, land acquisition specialists, and regulatory experts. lead local restoration design and implementation team. qualifications: minimum: b. s. in an engineering field (such as but not limited to civil engineering, agricultural engineering, environmental engineering, water resources engineering or natural resources engineering, etc.) a california registered pe or have equivalent experience and ability to pass the pe exam superior writing, communication, and computer skills (ms word, excel, etc.) with attention to detail ability to coordinate and manage teams of engineers and scientists. ability to manage subconsultants and subcontractors to deliver projects on time and on budget. ability to travel occasionally to sites as needed. overnight stays very occasionally are required a flexible working style and the ability to work independently and with teams of specialists to meet client and project needs preferred: experience delivering stormwater engineering, floodplain analyses, hydraulic and hydrology investigation, stream/wetland crediting as well as stream and wetland restoration design. fish passage and dam removal experience stormwater bmp design experience has conducted grade checks, performed bid spec reviews, and has evaluated contract performance milestones in the field. familiarity with northern and southern california riverine systems autocad, micro-station, grading applications within cadd, gis, hydrologic modeling software, and hydraulic modeling software  now is an exciting time to join res! if you’d like to learn more about our work in california, check out these links below:  mitigation and conservation bank portfolio  klamath dam removal project  vevraa federal contractor  res is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.",-1,3
"hybrid propulsion engineer electra aero cambridge, ma  about electra. aero electra. aero is building the next generation of regional mobility aircraft with a mission to turn flygskam into flugvergnügen. we are a new us company developing hybrid-electric aircraft using estol technology to enable clean, quiet, and sustainable air access that can turn any soccer-field sized space into a runway. we believe in the power of disruptive innovation, where small, highly focused teams operating in a lean and streamlined environment can truly change the world. if you seek an environment where responsibility and authority go hand in hand then we invite you to explore opportunities with our growing team. our team seeking an experienced electrical, mechanical, or aerospace engineer to organize and lead a hybrid-electric propulsion group. this position can be based in either europe (bern, switzerland area) or the united states (cambridge, ma or penrose, co) and is available immediately. qualifications must have experience with turbine engines, electrical generators, power supplies, high torque/high voltage electric motors, and their aircraft applications. must be an experienced entrepreneur, comfortable with working with minimal guidance and oversight. in addition to being a world-class engineer, this person must have strong organizational skills. this job will involve bootstrapping a development and test capability and guiding it to the point where it delivers flight certified hardware. must have demonstrated ability to work effectively with a range of people, suppliers, and customers. requirements b. s. degree in a related engineering field electra. aero offers great employee benefits and competitive wages. compensation for this position commensurate with experience.  s52uk0vhhp",1,4
"geoint test & evaluation engineer apogee engineering, llc wright-patterson afb, oh  apogee is actively seeking a geoint test & evaluation engineer to be located at dayton, oh. this position will provide test and evaluation support for the geoint systems. why work with us apogee engineering, llc is a growing provider of research, engineering, operations, software, cyber and intel expertise across an array of dod and federal civilian customers. apogee’s culture is infused with integrity and a passion for excellence, which has propelled apogee into the ranks of an elite small business company, known for unwavering dedication to their client's success, a warm and family-like work environment, and an enthusiasm to providing the right solution at the right time. responsibilities assist in the designing, planning, execution, analysis, and reporting phases of test and evaluation programs (including any applicable faa and airworthiness certifications and procedures) to assess the performance of aeronautical systems, subsystems, and equipment, as they progress through the various acquisition phases/milestones preparing, maintaining, updating, and reviewing the full range of test and test-related documentation for adequacy, specification/ performance requirement compliance, conformity with mandatory guidance, and providing recommendations as necessary for improvement evaluate program technical risk, establish risk mitigation plans, and participate in and/or support oversight of program technical risk reduction efforts as related to test and evaluation maintaining and submitting annual program introduction documents (pid) to test organizations and review and provide feedback on statement of capability (soc) delivered by test organizations for support of geoint testing support af acquisition management, c4isr systems, and systems integration management experience solving organizational, communications and program execution issues qualifications ts/sci security clearance experience with integrated test teams experience with data analysis using modeling and simulation techniques, models, computer simulations, or other tools/methods advanced degree (master of arts (ma) / master of science (ms)) and 12 years of experience in the respective technical / professional discipline being performed, five years of which must be in the dod or, ba/bs degree, and 15 years of experience in the respective technical/professional discipline being performed, five of which must be in the dod or, 20 years of directly related experience with proper certifications as described in the functionally aligned job descriptions, eight of which must be in the dod equal opportunity employer/protected veterans/individuals with disabilities the contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. however, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 cfr 60-1.35(c)",-1,5
"hybrid propulsion engineer electra aero cambridge, ma  about electra. aero electra. aero is building the next generation of regional mobility aircraft with a mission to turn flygskam into flugvergnügen. we are a new us company developing hybrid-electric aircraft using estol technology to enable clean, quiet, and sustainable air access that can turn any soccer-field sized space into a runway. we believe in the power of disruptive innovation, where small, highly focused teams operating in a lean and streamlined environment can truly change the world. if you seek an environment where responsibility and authority go hand in hand then we invite you to explore opportunities with our growing team. our team seeking an experienced electrical, mechanical, or aerospace engineer to organize and lead a hybrid-electric propulsion group. this position can be based in either europe (bern, switzerland area) or the united states (cambridge, ma or penrose, co) and is available immediately. qualifications must have experience with turbine engines, electrical generators, power supplies, high torque/high voltage electric motors, and their aircraft applications. must be an experienced entrepreneur, comfortable with working with minimal guidance and oversight. in addition to being a world-class engineer, this person must have strong organizational skills. this job will involve bootstrapping a development and test capability and guiding it to the point where it delivers flight certified hardware. must have demonstrated ability to work effectively with a range of people, suppliers, and customers. requirements b. s. degree in a related engineering field electra. aero offers great employee benefits and competitive wages. compensation for this position commensurate with experience.  s52uk0vhhp",1,6
"signal processing engineer isys technologies littleton, co 80125  minimum clearance required:secretresponsibilities: isys technologies delivers emerging technology solutions through our diverse and talented employees who are dedicated to our customers’ success. we empower our teams, contribute to our country and operate responsibly. we are a reputable award-winning wosb providing engineering and enterprise information technology (eit) services to the federal government. headquartered in colorado, isys serves key national customers throughout the united states with a presence in more than 16 states.  isys technologies is seeking a rf signal processing engineer.  as a radio frequency (rf) engineer you would develop rf payload solutions for space and missile platforms. you’ll work with rf from the mhz range all the way up through optical systems. rf payloads and subsystems are needed for every platform and serve missions ranging from human space flight, commercial broadband services, national intelligence, protected communications, navigation and more. our product portfolio includes a wide range of international and domestic programs, addressing the critical needs of our commercial, civil, and government customers.  responsibilities include: digital processing for electronically steered arrays beam forming technology adaptive nulling qualifications: basic qualifications: 10-20 years of experience secret clearance with ability to obtain top secret stem degree matlab rf and digital experiences hardware background with esa algorithm development experience  essential requirements: us citizenship is required.  isys technologies is an equal opportunity/affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.  physical demands: the physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job with or without reasonable accommodation.  while performing the duties of this job, the employee will regularly sit, walk, stand and climb stairs and steps. may require walking long distance from parking to work station. occasionally, movement that requires twisting at the neck and/or trunk more than the average person, squatting/ stooping/kneeling, reaching above the head, and forward motion will be required. the employee will continuously be required to repeat the same hand, arm, or finger motion many times. manual and finger dexterity are essential to this position. specific vision abilities required by this job include close, distance, depth perception and telling differences among colors. the employee must be able to communicate through speech with clients and public. hearing requirements include conversation in both quiet and noisy environments. lifting may require floor to waist, waist to shoulder, or shoulder to overhead movement of up to 20 pounds. this position demands tolerance for various levels of mental stress.  isys technologies is an engineering and information technology company focused on providing services to the federal and state government. isys offers a competitive compensation program and comprehensive benefits package to our employees.",-1,7
"hybrid propulsion engineer electra aero cambridge, ma  about electra. aero electra. aero is building the next generation of regional mobility aircraft with a mission to turn flygskam into flugvergnügen. we are a new us company developing hybrid-electric aircraft using estol technology to enable clean, quiet, and sustainable air access that can turn any soccer-field sized space into a runway. we believe in the power of disruptive innovation, where small, highly focused teams operating in a lean and streamlined environment can truly change the world. if you seek an environment where responsibility and authority go hand in hand then we invite you to explore opportunities with our growing team. our team seeking an experienced electrical, mechanical, or aerospace engineer to organize and lead a hybrid-electric propulsion group. this position can be based in either europe (bern, switzerland area) or the united states (cambridge, ma or penrose, co) and is available immediately. qualifications must have experience with turbine engines, electrical generators, power supplies, high torque/high voltage electric motors, and their aircraft applications. must be an experienced entrepreneur, comfortable with working with minimal guidance and oversight. in addition to being a world-class engineer, this person must have strong organizational skills. this job will involve bootstrapping a development and test capability and guiding it to the point where it delivers flight certified hardware. must have demonstrated ability to work effectively with a range of people, suppliers, and customers. requirements b. s. degree in a related engineering field electra. aero offers great employee benefits and competitive wages. compensation for this position commensurate with experience.  s52uk0vhhp",1,8
"automation controls engineer technosoft services madison, wi  position: full time location: madison, wisconsin our client is looking for an experienced electrical engineer to join our team. the company builds ""state of the art"" custom automated machinery for a variety of industries including but not limited to; medical, pharmaceutical, consumer products, automotive, industrial, and solar. essential job duties electrical hardware and software design ladder logic programming hmi development multi-axis motion control specifying and correctly applying a variety of robotic platforms machine vision systems integration equipment debug technical writing required skills knowledge of nec, nfpa79, and ul 508a electrical drafting utilizing autocad or autocad electrical plc programming – rockwell automation controllogix platform a must project management excellent problem solving ability strong interpersonal and communication skills robot integration and knowledge of ansi/ria r15.06 a plus. required experience b. s. in electrical engineering (or equivalent training and experience) and a minimum of 5 years of experience utilizing the skills listed above send resumes to services_careers@technosofteng. com.",-1,9
