Company,Count - Company,Rating
10x Genomics,1,1
1st St. NW Technical Staffing,2,1
3D Systems,4,2
3M,14,2
4C Air,3,2
A. Epstein and Sons,1,1
A&W Engineering Works,2,1
A100 US LLC,2,1
"A2Z Development Center, Inc.",19,1
A3 Acoustics,1,1
A³ by Airbus,15,2
AAK AB,1,1
AAK USA Richmond Corp,1,1
ABB,7,1
Abbott Laboratories,5,
Abington Hospital - Jefferson Health,1,
Above & Beyond Nannies,2,
Absolute Haitian Corporation,1,
Accenture,4,
ACCIONA's Services Energy,1,
ACCO Engineered Systems,1,
Accudyne Industries,2,
AccuTube,1,
Acero Precision,1,
Achronix,6,
ACS Design & Construction,1,
Activ8 Recruitment & Solutions,1,
Active,1,
Acuitus,2,
Acuity Brands,1,
ADS CFD,1,
"Adsync Technologies, Inc.",1,
Adtalem Global Education,1,
"Advanced Micro Devices, Inc.",5,
"Advanced Personnel Profiles, Inc.",1,
AdvanSix INC,1,
Advantage Resourcing,1,
Advantest,4,
Advocate Health Care,2,
Advocate Lutheran General Hospital,1,
Aechelon Technology Inc.,1,
AECOM,8,
Aerojet Rocketdyne,6,
Aeroseal,2,
AeroTEC Inc,12,
"AEye, Inc",1,
"Affiliated Engineers, Inc.",7,
AFL Telecommunications LLC,1,
"Agilis Engineering, Inc.",4,
Agusta Westland,3,
Air Methods,3,
Air Products,1,
Air Systems,1,
Airbnb,2,
Airbus UTM,1,
AIS Inc,1,
AK Steel,1,
AKF GROUP LLC,3,
"AKM Semiconductor, Inc",1,
Akoustis Technologies Inc.,2,
Albertsons Companies,4,
"Algo-Logic Systems, Inc.",2,
Alibaba,2,
Align Technology,1,
Alion Energy,3,
ALION SCIENCE & TECHNOLOGY,3,
Alion Science and Technology,9,
AliveCor,2,
Allegiance Consulting,1,
Allen Institute,1,
Allied Telesis,1,
Allston Trading,1,
Alpha & Omega Semiconductor,2,
ALSTOM,1,
Alt Shift USA,1,
Altair,2,
Altamira,3,
"Alternative Design Concepts, LLC",2,
Altex Technologies,1,
Altra Industrial Motion Corp.,1,
Altran,1,
"Amazing Pictures/Colorvision International, Inc.",2,
Amazon Services LLC,3,
"Amazon Web Services, Inc.",4,
"Amazon.com Services, Inc.",53,
Amber Kinetics,5,
Ambrell Corporation,1,
Ameresco,1,
American Academy of Orthopaedic Surgeons,1,
"American Mechanical, Inc.",2,
AMERICAN SYSTEMS,1,
American Transmission,2,
American Transmission Co.,1,
Americhem,1,
"AMETEK, Inc.",1,
Amgen,1,
Amita Health,2,
Ampco Pumps Co Inc,1,
Analog Bits,3,
Analog Devices,8,
