Term,Rating
 Wing ,2
Turbo,2
 Engine ,2
Fluid,2
Teach,0.1
Fuselage,1.5
 PE ,0.5
 Creo,0.7
 Maintenance ,0.5
food,0.4
beverage,0.4
 Manufacturing ,2
 3D Printing ,2
 casual ,1.5
 flexible ,1.5
 openfoam ,2
 CFD ,4
 turbulence ,1.5
 art ,0.1
 data ,1.5
 research ,2
r&d,2
motor,0.7
 electr,0.8
 Fusion360 ,1.3
 China ,2
 Vietnam ,1.5
 asia ,1.5
 hvac ,0.3
 plc ,0.3
 professional engineer ,0.7
 additive manufacturing ,2
 sales ,0.3
 combustion ,1.5
 travel ,2
on call,0.7
 bio,0.3
 testing ,1.5
 python ,2
 coding ,1.5
 FEA ,0.8
financ,0.3
linux,1.2
unix,1.2
 iot ,0.6
 RF ,0.5
 data entry ,0.3
 waste ,0.2
 mentoring ,0.3
struct,0.6
dynamics,2
thermo,1.5
aero,2
thermal,0.8
 FEA ,0.8
cyber,0.5
 IT ,0.5
infrastructure,0.7
repair,0.7
 inspect,0.5
 model,1.5
 simulat,3
algorithm,1.5
wind tunnel,1.5
 rocket ,1.5
 nozzle ,1.5
 propulsion ,1.5
hypersonic,1.5
supersonic,1.5
openfoam,2
subsonic,1.5
navigation,0.7
guidance,0.9
 electr,0.6
 fixtur,0.5
 tool,0.8
 sql ,0.3
satellites,0.8
 radar ,0.6
 sheet ,0.7
3D print,1.3
 computer ,0.7
 optimiz,1.5
 laser,1.2
 photogrammetry ,1.1
3D scanning ,1.1
 flow ,1.5
 transient ,1.3
 meshing ,1.3
 Post-processing ,1.3
 parametr,1.2
 turbine,1.4
 wind tunnel,1.4
 Hands-on ,1.5
 connector,0.5
hydraulic,0.5
pneumatic,0.5
 logic ,0.5
 board ,0.5
 wafer ,0.5
 imag,0.8
 shock,1.2
 financ,0.3
 complia,0.6
 automot,0.8
velocimetry,2
 PIV ,2
 CNC ,1.2
 laser ,1.2
verification and validation,1.5
V&V,1.5
 appliance ,0.7
 refrigeration ,0.7
 factory ,0.6
 supply chain,0.5
 logistic,0.8
 network,0.7
 transonic ,1.5
 sonic ,1.5
