Term,Rating
 Wing ,5
Turbo,4
 Engine ,2
Fluid,2
Teach,0.1
Fuselage,3
 PE ,0.5
 Creo,0.7
 Maintenance 0.3,0.5
food,0.4
beverage,0.4
 Manufacturing 2,
 3D Printing ,2
 casual ,1.5
 flexible ,1.5
 openfoam ,2
 CFD ,5
 turbulence ,3
 art ,0.1
 data ,1.5
 research ,2
r&d,2
motor,0.7
 electric ,0.8
 Fusion360 ,1.3
 China ,2
 Vietnam ,2
 asia ,1.5
 hvac ,0.3
 plc ,0.3
 professional engineer ,0.3
 additive manufacturing ,2
 sales ,0.3
 combustion ,1.5
 travel ,2
on call,0.7
 bio,0.5
 testing ,1.5
 python ,2
 coding ,1.5
 FEA ,0.8
financ,0.3
linux,1.2
unix,1.2
 iot ,0.6
 RF ,0.5
 data entry ,0.3
 waste ,0.2
 mentoring ,0.3
struct,0.6
